Nrep,intensity,rest,interval_duration
2,95,300,15
3,90,240,15
5,85,180,15
7,82.5,120,15
9,80,60,15
12,77.5,60,15
15,75,60,15
18,72.5,30,15
21,70,30,15
2,95,300,30
3,90,240,30
5,85,180,30
7,82.5,120,30
9,80,60,30
12,77.5,60,30
15,75,60,30
18,72.5,30,30
21,70,30,30
2,95,300,45
3,90,240,45
5,85,180,45
7,82.5,120,45
9,80,60,45
12,77.5,60,45
15,75,60,45
18,72.5,30,45
21,70,30,45
2,95,300,60
3,90,240,60
5,85,180,60
7,82.5,120,60
9,80,60,60
12,77.5,60,60
15,75,60,60
18,72.5,30,60
21,70,30,60
2,95,300,75
3,90,240,75
5,85,180,75
7,82.5,120,75
9,80,60,75
12,77.5,60,75
15,75,60,75
18,72.5,30,75
21,70,30,75
2,95,300,90
3,90,240,90
5,85,180,90
7,82.5,120,90
9,80,60,90
12,77.5,60,90
15,75,60,90
18,72.5,30,90
21,70,30,90
2,95,300,105
3,90,240,105
5,85,180,105
7,82.5,120,105
9,80,60,105
12,77.5,60,105
15,75,60,105
18,72.5,30,105
21,70,30,105
2,95,300,120
3,90,240,120
5,85,180,120
7,82.5,120,120
9,80,60,120
12,77.5,60,120
15,75,60,120
18,72.5,30,120
21,70,30,120
2,95,300,135
3,90,240,135
5,85,180,135
7,82.5,120,135
9,80,60,135
12,77.5,60,135
15,75,60,135
18,72.5,30,135
21,70,30,135
2,95,300,150
3,90,240,150
5,85,180,150
7,82.5,120,150
9,80,60,150
12,77.5,60,150
15,75,60,150
18,72.5,30,150
21,70,30,150
2,95,300,165
3,90,240,165
5,85,180,165
7,82.5,120,165
9,80,60,165
12,77.5,60,165
15,75,60,165
18,72.5,30,165
21,70,30,165
2,95,300,180
3,90,240,180
5,85,180,180
7,82.5,120,180
9,80,60,180
12,77.5,60,180
15,75,60,180
18,72.5,30,180
21,70,30,180
2,95,300,195
3,90,240,195
5,85,180,195
7,82.5,120,195
9,80,60,195
12,77.5,60,195
15,75,60,195
18,72.5,30,195
21,70,30,195
2,95,300,210
3,90,240,210
5,85,180,210
7,82.5,120,210
9,80,60,210
12,77.5,60,210
15,75,60,210
18,72.5,30,210
21,70,30,210
2,95,300,225
3,90,240,225
5,85,180,225
7,82.5,120,225
9,80,60,225
12,77.5,60,225
15,75,60,225
18,72.5,30,225
21,70,30,225
2,95,300,240
3,90,240,240
5,85,180,240
7,82.5,120,240
9,80,60,240
12,77.5,60,240
15,75,60,240
18,72.5,30,240
21,70,30,240
2,95,300,255
3,90,240,255
5,85,180,255
7,82.5,120,255
9,80,60,255
12,77.5,60,255
15,75,60,255
18,72.5,30,255
21,70,30,255
2,95,300,270
3,90,240,270
5,85,180,270
7,82.5,120,270
9,80,60,270
12,77.5,60,270
15,75,60,270
18,72.5,30,270
21,70,30,270
2,95,300,285
3,90,240,285
5,85,180,285
7,82.5,120,285
9,80,60,285
12,77.5,60,285
15,75,60,285
18,72.5,30,285
21,70,30,285
2,95,300,300
3,90,240,300
5,85,180,300
7,82.5,120,300
9,80,60,300
12,77.5,60,300
15,75,60,300
18,72.5,30,300
21,70,30,300
2,95,300,315
3,90,240,315
5,85,180,315
7,82.5,120,315
9,80,60,315
12,77.5,60,315
15,75,60,315
18,72.5,30,315
21,70,30,315
2,95,300,330
3,90,240,330
5,85,180,330
7,82.5,120,330
9,80,60,330
12,77.5,60,330
15,75,60,330
18,72.5,30,330
21,70,30,330
2,95,300,345
3,90,240,345
5,85,180,345
7,82.5,120,345
9,80,60,345
12,77.5,60,345
15,75,60,345
18,72.5,30,345
21,70,30,345
2,95,300,360
3,90,240,360
5,85,180,360
7,82.5,120,360
9,80,60,360
12,77.5,60,360
15,75,60,360
18,72.5,30,360
21,70,30,360
